Year,POP_KOR,GDP_KOR,EXP_LIFE_KOR,GDP/POP_KOR,Medal_KOR,POP_JPN,GDP_JPN,ECP_LIFE_JPN,GDP/POP_JPN,MEDAL_JPN
1920,,,,,,,,,,2
1924,,,,,,,,,,1
1928,,,,,,,,,,5
1932,,,,,,,,,,18
1936,,,,,,,,,,18
1940,,,,,,,,,,0
1944,,,,,,,,,,0
1948,,,,,2,,,,,0
1949,,,,,,,,,,
1950,,,,,,,,,,
1951,,,,,,,,,,
1952,,,,,2,,,,,9
1953,,,,,,,,,,
1954,,,,,,,,,,
1955,,,,,,,,,,
1956,,,,,2,,,,,19
1957,,,,,,,,,,
1958,,,,,,,,,,
1959,,,,,,,,,,
1960,25012374,3958811881,54.3,158.3,0,93216000,47419238274,67.7,508.7,18
1961,25765673,2417628737,54.9,93.8,,94055000,57266758180,68.4,608.9,
1962,26513030,2814615385,55.5,106.2,,94933000,64987857542,68.6,684.6,
1963,27261747,3988461538,56,146.3,,95900000,74379284603,69.7,775.6,
1964,27984155,3459019943,57.2,123.6,3,96903000,87490590818,70.2,902.9,29
1965,28704674,3120861499,58.2,108.7,,97952000,97338107606,70.3,993.7,
1966,29435571,3929055144,59.5,133.5,,98851000,1.13E+11,70.9,1143.6,
1967,30130983,4855892446,61.3,161.2,,99879000,1.32E+11,71.5,1326.4,
1968,30838302,6119394892,61.6,198.4,2,101011000,1.57E+11,71.6,1553.3,25
1969,31544266,7678698838,62.1,243.4,,102219000,1.84E+11,71.9,1803,
1970,32240827,9005144969,62.2,279.3,,103403000,2.17E+11,71.9,2100.7,
1971,32882704,9903571249,62.6,301.2,,105697000,2.45E+11,72.8,2321.4,
1972,33505406,10862211761,63,324.2,1,107188000,3.25E+11,73.2,3031.4,29
1973,34103149,13876472208,63.4,406.9,,108707000,4.41E+11,73.3,4061,
1974,34692266,19543973941,63.8,563.4,,110162000,4.90E+11,73.7,4448.3,
1975,35280725,21784297521,64.2,617.5,,111573000,5.33E+11,74.2,4775.9,
1976,35848523,29902479339,64.5,834.1,6,112775000,5.99E+11,74.7,5310.4,25
1977,36411795,38446487603,64.9,1055.9,,113872000,7.37E+11,75.3,6472.8,
1978,36969185,51972107438,65.2,1405.8,,114913000,1.04E+12,75.6,9012.1,
1979,37534236,66946900826,65.5,1783.6,,115890000,1.08E+12,76.1,9301.1,
1980,38123775,65398377598,66,1715.4,0,116807000,1.13E+12,76,9668.7,0
1981,38723248,72933533012,66.5,1883.5,,117661000,1.25E+12,76.4,10583.1,
1982,39326352,78358416171,67.1,1992.5,,118480000,1.16E+12,76.9,9780,
1983,39910403,87760553262,67.5,2198.9,,119307000,1.27E+12,76.9,10652,
1984,40405956,97510744119,68.2,2413.3,19,120083000,1.35E+12,77.3,11207.5,32
1985,40805744,1.01E+11,68.8,2482.4,,120837000,1.43E+12,77.6,11809.5,
1986,41213674,1.17E+11,69.4,2834.9,,121482000,2.12E+12,78,17451.8,
1987,41621690,1.48E+11,70,3554.6,,122069000,2.58E+12,78.4,21141.7,
1988,42031247,2.00E+11,70.5,4748.6,33,122578000,3.13E+12,78.3,25499.9,14
1989,42449038,2.47E+11,71,5817.1,,123069000,3.11E+12,78.8,25265.9,
1990,42869283,2.83E+11,71.6,6610,,123478000,3.19E+12,78.8,25801.4,
1991,43295704,3.31E+11,72,7636.9,,123964000,3.65E+12,79,29428.4,
1992,43747962,3.56E+11,72.5,8126.7,29,124425000,3.98E+12,79.1,31992.8,22
1993,44194628,3.93E+11,73,8884.9,,124829000,4.54E+12,79.3,36345.2,
1994,44641540,4.64E+11,73.4,10385.4,,125178000,5.00E+12,79.7,39933.5,
1995,45092991,5.67E+11,73.7,12564.7,,125472000,5.55E+12,79.5,44197.6,
1996,45524681,6.10E+11,74.2,13403,27,125757000,4.92E+12,80.2,39150,14
1997,45953580,5.70E+11,74.6,12398.5,,126057000,4.49E+12,80.4,35638.2,
1998,46286503,3.83E+11,75,8281.7,,126400000,4.10E+12,80.5,32423.8,
1999,46616677,4.98E+11,75.4,10672.4,,126631000,4.64E+12,80.5,36610.2,
2000,47008111,5.76E+11,75.9,12257,28,126843000,4.97E+12,81.1,39169.4,18
2001,47370164,5.48E+11,76.4,11561.2,,127149000,4.37E+12,81.4,34406.2,
2002,47644736,6.27E+11,76.8,13165.1,,127445000,4.18E+12,81.7,32820.8,
2003,47892330,7.03E+11,77.2,14672.8,,127718000,4.52E+12,81.8,35387,
2004,48082519,7.93E+11,77.7,16496.1,30,127761000,4.89E+12,82,38299,37
2005,48184561,9.35E+11,78.2,19402.5,,127773000,4.83E+12,82,37812.9,
2006,48438292,1.05E+12,78.7,21743.5,,127854000,4.60E+12,82.3,35991.5,
2007,48683638,1.17E+12,79.1,24086.4,,128001000,4.58E+12,82.5,35779,
2008,49054708,1.05E+12,79.5,21350.4,32,128063000,5.11E+12,82.6,39876.3,25
2009,49307835,9.44E+11,80,19143.9,,128047000,5.29E+12,82.9,41309,
2010,49554112,1.14E+12,80.1,23079.3,,128070000,5.76E+12,82.8,44968.2,
2011,49936638,1.25E+12,80.6,25097.6,,127833000,6.23E+12,82.6,48760.1,
2012,50199853,1.28E+12,80.8,25459.2,31,127629000,6.27E+12,83.1,49145.3,38
2013,50428893,1.37E+12,81.3,27179.5,,127445000,5.21E+12,83.3,40898.6,
2014,50746659,1.48E+12,81.7,29252.9,,127276000,4.90E+12,83.6,38475.4,
2015,51014947,1.47E+12,82,28737.4,,127141000,4.44E+12,83.8,34960.6,
2016,51217803,1.50E+12,82.3,29280.4,21,127076000,5.00E+12,84,39375.5,41
2017,51361911,1.62E+12,82.6,31600.7,,126972000,4.93E+12,84.1,38834.1,
2018,51585058,1.73E+12,82.6,33447.2,,126811000,5.04E+12,84.2,39751.1,
2019,51764822,1.65E+12,83.2,31902.4,,126633000,5.12E+12,84.4,40416,
2020,51836239,1.64E+12,83.4,31721.3,20,126261000,5.06E+12,84.6,40040.8,57
2021,51769539,1.82E+12,83.5,35125.5,,125681593,5.03E+12,84.4,40058.5,
2022,51672569,1.67E+12,82.7,32394.7,,125124989,4.26E+12,84,34017.3,
2023,51712619,1.71E+12,,33121.4,,124516650,4.21E+12,,33834.4,
2024,,,,,32,,,,,45
